chainId,address,symbol,name,decimals
101,99pifp4v4qQNk3irTHpmAEEzgKfs3ahLE7iFKEqfyxPj,ZI,ZI (The Z Institute Token),6
101,FYfQ9uaRaYvRiaEGUmct45F9WKam3BYXArTrotnTNFXF,SOLA,Sola Token,9
101,So11111111111111111111111111111111111111112,SOL,Wrapped SOL,9
101,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,USD Coin,6
101,SrZXMTPhY8TEJMXQEhHKbFdVY2oNSGR5YqMMGK6Zm7L,BDNT,Battle Drone Native Token,9
101,2inRoG4DuMRRzZxAt913CCdNZCu2eGsDD9kZTrsj2DAZ,TSLA,Tesla Inc,8
101,8bpRdBGPt354VfABL5xugP3pmYZ2tQjzRcqjg2kmwfbF,AAPL,Apple Inc,8
103,DGGETjRbXeNyq2bpA7FLmWwqjFLtS8p5aYjzUwtAHtZd,Aiko,Aiko,0
101,7J2cEFFhMCsdUBWssnYfUG5z6zYJYCUaTNPTxH3k9aVY,AIKO,Aiko,9
101,3vhcrQfEn8ashuBfE82F3MtEDFcBCEFfFw1ZgM3xj1s8,MSFT,Microsoft Corporation,8
101,HNXTQPd5FkGX7USMufrxkvUQkTGmNFxVYCnAhuR941mm,DOWIT,DOWIT,9
101,4R8DBzZEzjBQzPJe4qqaxXM97am7unGM1ZYfviS6oSFe,ANU,ANUBEAST,9
101,ASwYCbLedk85mRdPnkzrUXbbYbwe26m71af9rzrhC2Qz,MSTR,MicroStrategy Incorporated,8
101,J25jdsEgTnAwB4nVq3dEQhwekbXCnVTGzFpVMPScXRgK,COIN,Coinbase Global Inc,8
101,G2Cg4XoXdEJT5sfrSy9N6YCC3uuVV3AoTQSvMeSqT8ZV,ABC,AmerisourceBergen Corp,8
101,FqqVanFZosh4M4zqxzWUmEnky6nVANjghiSLaGqUAYGi,ABNB,Airbnb,8
101,FgcUo7Ymua8r5xxsn9puizkLGN5w4i3nnBmasXvkcWfJ,ACB,Aurora Cannabis Inc,8
101,FenmUGWjsW5AohtHRbgLoPUZyWSK36Cd5a31XJWjnRur,AMC,AMC Entertainment Holdings,8
101,7grgNP3tAJh7DRELmotHzC5Efth4e4SoBvgmFYTX9jPB,AMD,Advanced Micro Devices,8
101,3bjpzTTK49eP8m1bYxw6HYAFGtzyWjvEyGYcFS4gbRAx,AMZN,Amazon,8
101,4cr7NH1BD2PMV38JQp58UaHUxzqhxeSiF7b6q1GCS7Ae,APHA,Aphria Inc,8
101,GPoBx2hycDs3t4Q8DeBme9RHb9nQpzH3a36iUoojHe16,ARKK,ARK Innovation ETF,8
101,GgDDCnzZGQRUDy8jWqSqDDcPwAVg2YsKZfLPaTYBWdWt,BABA,Alibaba,8
101,6jSgnmu8yg7kaZRWp5MtQqNrWTUDk7KWXhZhJPmsQ65y,BB,BlackBerry,8
101,5HHv6HAyBtaihyHEapCJvjE6iRbGLRmm3F5EZjz6EzHV,wID_v1,Everest ID (Wormhole v1),8
101,9Vovr1bqDbMQ8DyaizdC7n1YVvSia8r3PQ1RcPFqpQAs,BILI,Bilibili Inc,8
101,j35qY1SbQ3k7b2WAR5cNETDKzDESxGnYbArsLNRUzg2,BITW,Bitwise 10 Crypto Index Fund,8
101,AykRYHVEERRoKGzfg2AMTqEFGmCGk9LNnGv2k5FgjKVB,BNTX,BioNTech,8
101,Dj76V3vdFGGE8444NWFACR5qmtJrrSop5RCBAGbC88nr,BRKA,Berkshire Hathaway Inc,8
101,8TUg3Kpa4pNfaMvgyFdvwyiPBSnyTx7kK5EDfb42N6VK,BYND,Beyond Meat Inc,8
101,8FyEsMuDWAMMusMqVEstt2sDkMvcUKsTy1gF6oMfWZcG,CGC,Canopy Growth Corp,8
101,DUFVbhWf7FsUo3ouMnFbDjv4YYaRE1Sz9jvAmDsNTt1m,CRON,Chronos Group Inc,8
101,J9GVpBChXZ8EK7JuPsLSDV17BF9KLJweBQet3L6ZWvTC,EEM,iShares MSCI Emerging Markets ETF,8
101,6Xj2NzAW437UUomaxFiVyJQPGvvup6YLeXFQpp4kqNaD,EFA,iShares MSCI EAFE ETF,8
101,5YMFoVuoQzdivpm6W97UGKkHxq6aEhipuNkA8imPDoa1,ETHE,Grayscale Ethereum Trust,8
101,C9vMZBz1UCmYSCmMcZFw6N9AsYhXDAWnuhxd8ygCA1Ah,EWA,iShares MSCI Australia ETF,8
101,AcXn3WXPARC7r5JwrkPHSUmBGWyWx1vRydNHXXvgc8V6,EWJ,iShares MSCI Japan ETF,8
101,8ihxfcxBZ7dZyfnpXJiGrgEZfrKWbZUk6LjfosLrQfR,EWY,iShares MSCI South Korea ETF,8
101,N5ykto2MU7CNcLX7sgWFe3M2Vpy7wq8gDt2sVNDe6aH,EWZ,iShares MSCI Brazil ETF,8
101,3K9pfJzKiAm9upcyDWk5NBVdjxVtqXN8sVfQ4aR6qwb2,FB,Facebook,8
101,Ege7FzfrrBSusVQrRUuTiFVCSc8u2R9fRWh4qLjdNYfz,FXI,iShares China Large-Cap ETF,8
