name,account,token_mint_A,token_account_A,token_mint_B,token_account_B
stSOL/USDC[aquafarm],EfK84vYEKT1PoTJr6fBVKFbyA7ZoftfPo2LQPAJG1exL,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9SEBxqhP8sTAzmfiQfCPim1MqQXuDPb6fkGzJF7Z339i,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G45yhM5mZ5RXZpLxGWLk3PVzdAp33z8aH6F9mLW8fQj3
wstETH/USDC[aquafarm],v51xWrRwmFVH6EKe8eZTjgK5E4uC2tzY5sVt5cHbrkG,ZScHuTtqZukUrtZS43teTKGs2VqkKL8k4QCouR2n6Uo,5c4tzhRVaCxpmu8o3HrEZ8PWBDKSR6QNkBdQrUo9oe3e,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,AFNaWHH7ZGFjB7y7jmPM7jVs7QBAciffu7Z5tZidRHPR
AURY/USDC[aquafarm],6HSguUukDH9zqJBm6oAAmFkg1WK9dJ5iLgnppTCM6jHm,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,413s6jiRbayD9didA4VnY8kQVgVBgkYNpYB2tyNf8sbh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GdPeogNxRWAZtUj7ZHc7fUpBuGHJosdbukiT2krFtXm8
AVAX/USDC[aquafarm],7c2CLgatf2TU36PgpS65WLmvWk94rmaHVf1Z1peZ7mcA,AUrMpCDYYcPuHhyNX8gEEqbmDPFUpBpHrNW3vPeCFn5Z,5rU6M2jAXQMSmgrsn14BPoVVhoBdCU6y5cP7XMjN4ZYy,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,D28rzq246bcXBrYiCeALY86y8NwvCUmuJGNggvKsh4WR
FTT/USDC[aquafarm],8npdwWX2BR39kcFLtTJABbcjNq7NWQvipfqxgsfk9mTX,AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,SasuKsATA2ATrMfFfSJr86wAGVgdS69PkQT3jFASBB8,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3wADiuUqoakdoYYYxKqwoA4VN3uWZy5UwvLePox1mEsK
RAY/USDC[aquafarm],2R2VhohRc5WoNHtRdwnjovAQaZRAmr1DE3QFW5jfgb6v,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,9ASj9zDg7cT6wtvn4euSUiZte8yN2U3Tn6cTVZvMHbU7,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HGTxSWbb62nxk4oGkLkHUvrEzR5D4GKYRb8ZDcA2dpki
SLND/USDC[aquafarm],GhosXH9yZPxqSyTHqJtXQt6w65YfiGjKXcEXciX1P3z8,SLNDpmoWTVADgEdndyvWzroNL7zSi1dF9PC3xHGtPwp,9RcdfprKxbTzp3erTJMwXKznNCLmbCUaKhibaTMXhToi,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6wEh8r3Czc3nKkN6JXobShnLG7ZqA5Y5DREGzkirYR36
GOFX/USDC[aquafarm],C3b5AWQJiyar5g8EWu75zgDE26F55ZJWpqtFVCCVDQQQ,GFX1ZjR2P15tmrSwow6FjyDYcEkoFb4p4gJCpLBjaxHD,5AhPVbtyiTV3SiNRJuq5z9xeaqqwoHQWqohR9HvjJkKS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6mtcbtTAadVEdnWJZmsq8woqLea7ef7k5WumVXSHr5KQ
WOOF/USDC[aquafarm],HY6iq1dp7pHwstfmLFu8m2iEvRQtjX3N751jcN6KrQXU,9nEqaUcb16sQ3Tn1psbkWqyhPdLmfHWjKGymREjsAgTE,8ju56eRfs9wg3GtoSFVoQoR6NnQn6gsWr6FkQyZ1EeBg,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5WcqVktXr3Rr78MGGfcuwgB6azoN9EDCZLP4werGnfi4
SDOGE/USDC[aquafarm],8GoFKVkoxPyQKWXhoXs3ycGmp9rXYM8hz7eq1EUM1MJe,8ymi88q5DtmdNTn2sPRNFkvMkszMHuLJ1e3RVdWjPa3s,ABQfmExcxJt2wE9JeLUxvhkpA2VkoQVvWKDvfusjq226,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EDBXkzwxu6UXqBDnzb9AJ6Eggjyyct7SmYVoR8PYJkHd
CATO/USDC[aquafarm],GumfURfQvPaJ2E5ueCEKYJmymNQbV34gU9TmiKZYRkiv,5p2zjqCd1WJzAVgcEnjhb9zWDU7b9XVhFhx4usiyN7jB,AGNHgSQuPd4EqjLTLJrXEVb3KCkjRxGVDTaag4drV1XX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FESKk2kj9oqdYR4dcaP4LyqDyWZt3NttgypRVFoyUQNs
OOGI/USDC[aquafarm],9tK2LaapwjxaUmfcAzY9zgC39M3wnaFX558y2Bb4oxWG,H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,GgfTGZ5DnAotnXKFM86vqffKQZ9nGgHaX1PDS7RTcKjQ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A3rzsPGtqowjKXfscYrPo1jvv2EVYpJwXQPGKxgvvStf
SONAR/USDC[aquafarm],Dzp3ZWyUZGXZYWfodXdLdXfiW7gwVZBdWBwQ28eB6cTH,sonarX4VtVkQemriJeLm6CKeW3GDMyiBnnAEMw1MRAE,DxGfntMLqAjtB287GkPPcfotUGcWdhtpzR6KukdBo39H,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EVymxW4gFtxw7qjMYGFq4EupxHc1RteffwETa5MKTDPR
APT/USDC[aquafarm],Fg3UabVqnfycMtkiTVoaia9eNafehtT9Y4TicH2iBtvK,APTtJyaRX5yGTsJU522N4VYWg3vCvSb65eam5GrPT5Rt,636crNdZTf46gFUKuedaBCZDBMLahf7KGud2LyTMskU5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,DGEYFkEHyiuHWtHeCGiQGn1JbkGHqYrNwaP44miRbgxu
DFL/USDC[aquafarm],59wJQz25rr38YnD69eXsntbdE4LB7m39KjHqZUUaoyZ3,DFL1zNkaGPWm1BqAVqRjCZvHmwTFrEaJtbzJWgseoNJh,EXZdhy56TjvArQRfDakjuQdT7DffwFEYdY5F39vn3Wbr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Bhch1NY65RNA8uFaj2s8Fzxu36SFMQiniyZidq4jzsTt
DFL/SOL[aquafarm],GxkXvW6dJP3KUNWuXi64V99uRsPFEFnuuasNTq6fvZfP,DFL1zNkaGPWm1BqAVqRjCZvHmwTFrEaJtbzJWgseoNJh,BpjpdhuMkPPW3HPx4U9tRmNAXdUeb49jxwFGy2PrSNCp,So11111111111111111111111111111111111111112,HcXqJthqq1UeGHA8xPeDLnWVJFcndoUnKnpULRCjyTzi
FRKT/USDC[aquafarm],DXNct3MfHDuhKiXHY3AUXPtj5sQVY3feuDxkDRfCw1rL,ErGB9xa24Szxbk1M28u2Tx8rKPqzL6BroNkkzk5rG4zj,AUSeFBvVtLiZRppRu8Uvd8NjzCkQzaCi5Si8WWyko9p,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C3RzSoNiBfTNbAZMyyuV2aLfwGQRyjvkjL3pf9iuvU3R
TTT/USDC[aquafarm],HD6pqxyqj4S7eS3orAyQyan5RpwpMPjKEDWgTyYXcfr1,FNFKRV3V8DtA3gVJN6UshMiLGYA8izxFwkNWmJbFjmRj,HbrvwSnL11K5EALN21FdjmWvG16VNcq5iyHEKjdHtyJe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CQvyngoqxCdgFQYjbT8EKved6hTDzmzdp8Xxxv5FkXmd
UPS/USDC[aquafarm],G67ZSkxE5N67x6A1WhcTaHiFHqRtRQUb3QHwjtPge1Xr,EwJN2GqUGXXzYmoAciwuABtorHczTA5LqbukKXV1viH7,CNw37MJdV6gBChtEtUgGrx3zWXz8t3bYxD7u5axPrwdJ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5iLVx3LwhWiqjaRyLaiVNsLbYBqy48fvs2sTY6q96nNy
FANT/USDC[aquafarm],95aDcNzL8tL17jzHAUQXnRwuCmYBWKUr4xfjV6AMVJY1,FANTafPFBAt93BNJVpdu25pGPmca3RfwdsDsRrT3LX1r,CyLaJ6Y382czGE75yFDg2fneKni6PjZHH9Jh4GZN2Nyo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7wHMKRPVsacb3JcBsUxLKLZkAPbX81VNc6Z6J9uvJ2J8
BLOCK/USDC[aquafarm],ExeW62iy4xEUo5b5XnDru5oQCDRDUmBaFNqE4V4u7uvm,NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk,7uJ5SFRGzrnbspUThix8M2wFJNnS8vvSKbCEhKmqMjNm,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4e5ZVp7u6YWEibveHscZmbmHpujtbJNUHFj14tqtAZKv
RUN/USDC[aquafarm],9j4FdbK68xUDQVynTWHbNzBRAj7Q7Lywiqb82en4JzZs,6F9XriABHfWhit6zmMUYAQBSy6XK5VF1cHXuW5LDpRtC,tg7YMVac4S2ZpVrbaDqrZgURyTBBrZCQUkQ6Fn6nnrX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G2fZDZKa5Y599xzqP1jVQ3EMCfiG6f4dMS6G1f7BKoQe
UXP/USDC[aquafarm],eKuTPdMHmnVzLP63oWwdUH6bBAVcdvBfg4zvH2nWWCj,UXPhBoR3qG4UCiGNJfV7MqhHyFqKN68g45GoYvAeL2M,BWL9ocg8VEBSfrS7zjUBUidE9T8p95J3p5wF6C4Vaqrs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GQC4fM5E6dr9MsXvtMzAR4Z8iCduhyFvYCLdMAAHGCM2
BTC/USDC[aquafarm],2dwHmCoAGxCXvTbLTMjqAhvEFAHWUt9kZaroJJJdmoD4,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,D3Wv78j9STkfJx3vhzoCzpMZ4RqCg8oaTNGzi1rZpdJg,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HMFLg2GtbWSSEe92Vuf2LQdUpCacGj2m2PwvMqzwQFNi
MNDE/USDC[aquafarm],2yNwARmTmc3NzYMETCZQjAE5GGCPgviH6hiBsxaeikTK,MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,AfF3SJFpyfU7iw9KtrwPyi6corJbyiC24JyVis7oxNVr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FT4GQqs5sEvqhsWm845VF1vmHjdQkrB1jdsGPJbzB4oB
CHICKS/USDC[aquafarm],3abwmh8LDUsXMoDgNzZLq9QvKqKbhYND9N5aXh9yz7Dm,cxxShYRVcepDudXhe7U62QHvw8uBJoKFifmzggGKVC2,84Ha1dXH8YAWXt3AC15RstnUCoWT3hg24tUGD1GtqGSm,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GkonWV6urvzsnKwVmPXe89fTX1zBfv4xrAhx9JnxV9Nq
1SOL/USDC[aquafarm],CKKuMECwW75NBNRKtYJz1svCycRHt4KpXmcNnHXiHY73,4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF,2meoejmWQno2q6cbFMRytu7UMqMA8FTx651feSUHfTtC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,n5CtiZDLm2xNxVU1o4KC98dNGiFb1sbuCazDihahbMy
WMP/USDC[aquafarm],Cqy7PRGRx2QeTLZM3QmLGN68uHxEd9euj2eEeeZWnuvQ,BygDd5LURoqztD3xETc99WCxLUbTi6WYSht9XiBgZ4HW,3WubbpV7W82H6FERR62Bd8Z4fXFGaihtBNqnT1zkGr6f,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8MxcExnMniQEDs361cZseukEau9Rmd3CmrCXxasmNM1x
UNQ/USDC[aquafarm],3a3G1RjJe826EB1toShvPPWnyi2jXR53HP4vYb936kwj,UNQtEecZ5Zb4gSSVHCAWUQEoNnSVEbWiKCi1v9kdUJJ,Hf4gYkKNAPhm2RYrXrcP9YVL44VbYnsRsyUuBnZGzqPr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BZ9oTLGDL6tsvoooQ9qEBSM3sYKJB1v2e9b4en5ix1Mp
BASIS/USDC[aquafarm],9wb29L97MmPp7Nw8oaqiAGkXceETGNQurhySiUNLv5wh,Basis9oJw9j8cw53oMV7iqsgo6ihi9ALw4QR31rcjUJa,7QM71YvJm86bN9RLFoEvyDX8dBgLh2xjnabcHf4d1Q1y,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,AmP22dYrTsG2LrkQX9cLg79jUrzDJcmWqGEWmM3Mdn46
GST/USDC[aquafarm],87E4KtN7F4LivKhjqXaoQAvS3a8HnM4DnMUrbMrkVvXY,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,9r39vqrJuubgafaJ5aQyDWYAUQVJeyZyveBXeRqp7xev,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7LFnr5YgUyEgPMCLGNQ9N7wM5MFRNqCuRawLZTe5q4c7
MEAN/USDC[aquafarm],4jhCSYuGkLCiB8uvCaS34QCtPycBjayxEk27YCartTuW,MEANeD3XDdUmNMsRGjASkSWdC8prLYsoRJ61pPeHctD,5KSCuA99i7PSF6KvvbvV5hDveGse7isqF6e7tFXPeMyn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,13PtHDhQzswoFWg8Gr4yVrTmUEW4CWxeKFkLVERCmypB
AART/USDC[aquafarm],8wVYTnchy3WbhJvKn4NhTbgtVm6Bfd6yvxR33DsSftse,F3nefJBcejYbtdREjui1T9DPh5dBgpkKq7u2GAAMXs5B,Hy3FDHpTfzqtooUARjgUvYuRcFnjGH5WLftu77DyEnKJ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J4Cd9u1WuY1WnCScENuRyL2jGh7qD6vpRsWJG6ZsC5z9
SHDW/USDC[aquafarm],25bQ6UzZpgFgnU7MqZdqM9Axi6oJunytRL2LgXruDWZB,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,8ZVaNyNZQkcMzF7esuZoRgRo7Rc9eKEN18v4zw7Ng8JZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,H8A2xivBXr1RMCYmuhJ7dyEXJqPxaGDyQaaim8WucU7c
SHDW/SOL[aquafarm],E3fxkJGNNAWf5xXDfMdq5qofBVkQtLKxkP7gG6Up21Ts,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,9LQEB2SZQJxtLQStgXVNzgWU3LVkc4szK22iDHcSr4K9,So11111111111111111111111111111111111111112,F2qtMkEy3L78wpw64bckvRx5M4w12Zi7bimuPBnYzto1
SCY/USDC[aquafarm],Ci2T7KY8xXc3NmSr4JmbhZ2V7SfjZ7Fn2q6VxJsDD1Dg,SCYfrGCw8aDiqdgcpdGjV6jp4UVVQLuphxTDLNWu36f,Hfa6kPY27pgnbXHMd1bKBaYMBoF8RRxUm2AmWHBWudcn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CYKEhyhe9JZqLzaM29o8urMu8riDNBE6ycZP6bLQtkbF
SLC/USDC[aquafarm],ByfDbpLVNVQHzU6E5dmLE1kcAKWAYRr9LPSGcVxxSRFF,METAmTMXwdb8gYzyCPfXXFmZZw4rUsXX58PNsDg7zjL,EnvNSVK9JRQ5jmsz7nvbhYmR3MHSeMvB8Mf1e4VwoyRe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CHuUSo3EMCqtGWvUGRj4crmDzV5YKdYvqrhHSEitAP8V
wUST/SOL[aquafarm],M3DfDvKZ9WEWYWcBuguvt3rYSbKqj66PgjW69DoEq9C,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,3T7UL3ixF9S8XPjW7SEr9yYY8A5YWTDc7omgjKD2ULhb,So11111111111111111111111111111111111111112,91NfC8SunFRWF6BqEKnbnJCursfiDB2U3H6GGCqsFVxc
wUST/USDC[stable][aquafarm],Awp1hdAi5xi3CTDsXxiZsygSacpZV2a3L8rNNvpNRVn4,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,GZWYWkbZ63teAW3tUaThq7k4NMp67TqwF94TqAMRSPx4,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,DMuVdnkRsqP7v8exbrdHNn7WoViNLjf4PVanEQtwgFZ6
mSOL/wUST[aquafarm],BpiM8jnpbha2TnTKp4AogyLYYA99Ks73GfDGueUWLakT,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,8SuMMuDbSGVpWjp3fW5kzpMWuMhxcdQwGgLJiviP25UD,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,FL5QM8K2AYrqN52ssqr9GA3goYGkUiXQQxXfFFc9xD4f
wLUNA/wUST[aquafarm],C9NcP1mx51DLZVX8VtAk2Ldip5v6xCxZGmhx7Bxtqnz8,F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,97aVH3M9cjZmfA5HVu9iJ9AnE41inBG1Sxqj8UQhR2jo,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,Av3RXECkvPCehJTJNbkWmUj3LmP63c4btzMYjbcYLkpm
stSOL/wUST[aquafarm],9F3J6RY7PTkDb3SUUpg725uXyCceBGCpZrtmYGJwgMwF,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,GFso9SAGakm8ZFa3rmuonuerbcQ8ZbACNZN7idkKR5nw,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,EZ7pJskN2a4pDknrdkLzGDHpzjbfgdBj3Tt594K9HZbL
JSOL/USDC[aquafarm],5pki97N9a6yEB3YQL3y8gvf4nSWnvEL9V6yms8Amnd9Z,7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,D4Am1hMwzQqULAvmEjwJLDGwoyTgakRXrn7ayWHMhiB7,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GznbQjBy2KKYYVLaJ6bM59GgekRsKT5QRi2NFMYNRcmf
daoSOL/USDC[aquafarm],6TwZgp6ABN7pbXbxvaZriHbbxeSAcEgxhKYnqGwphiRD,GEJpt3Wjmr628FqXxTgxMce1pLntcPV4uFi8ksxMyPQh,EZf2tVoxVgGaBz6ir5iBppxiqFSqBUob2dNpiEuXMYiJ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3v29nJzrWebKv3DefSY5WVq4kgHWykF7fdYVaCpohwks
ORCA/USDT[aquafarm],4YnaUPeZ2fYqpoLrCyprSai8LaDWZxmgb6cGfNHJmyP6,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,D91z1TewbTQ3AVc9RThtTjiMVRqr94CP73XrsbHEhej8,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Fy4AwXwAwitVdFwgWBdYkqRVv8QjigU86ssL6rqzgp8S
ORCA/whETH[aquafarm],D67u6UEuFp9Q4Fu2gnu5thxBoVj2eRgDDDirdWsMVsgm,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,EMxDw1NjdddQjPk9gCUN4iDMy8HJ5siKYMVjGbjuUCrh,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,DQyhcuEvE1K9DSd51agcNLg4CDrgthnKMVhU7q6R55LV
GENE/USDC[aquafarm],PQ1sBpkZYTkXo2aDRqWU2sEJGUj7yaeJ3GePoCRYU4V,GENEtH5amGSi8kHAtQoezp1XEXwZJ8vcuePYnXdKrMYz,LiM9qAQi7ud4fCkAcGcJJzmY47od7vzzeqKBejATbJm,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,APQyCmCvyVFreK2JjFHinmja24jTHdwm4umNJo67Nu2v
CMFI/USDC[aquafarm],AaJERSYSMtWxhRqZzBZ9JFr1gJkfSPgPEd3mBDT2AknQ,5Wsd311hY8NXQhkt9cWHwTnqafk7BGEbLu8Py3DSnPAr,HEqNExFgmyZ4Es53pL2bfBi5pKcZwGzbvwm1UknYLD9s,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GbK7B7ZGQNZYrEhADC8aV5HdPhYgMZ35f6c8Decie224
CELO/USDC[aquafarm],H2bkwBwizcotpWHbruYFKXfHvh29hhoZn52qHq2YZumW,GNCjk3FmPPgZTkbQRSxr6nCvLtYMbXKMnRxg8BgJs62e,H6tFXr3BnF3r21Sv2ykLSbiE7wLxWpDcXroyxBReoXou,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GnKnjXsmZKVhduVyLiR9Ngsxwo8spfxtruiPtqDqHLNJ
FTM/USDC[aquafarm],4RCU8SoBzvYysNaQBAFpQMmt7LPQgxbto9uiuRjAJPpq,EsPKhGTMf3bGoy4Qm7pCv3UCcWqAmbC1UGHBTDxRjjD4,EULHGNmuJWcRHm5Xen9CiG4uqVZoemLorLvAQ7vR9vCi,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,71rJZyRkxxupdqZeLrNQnHjus11C1yEVwsrKgQax6TSx
CELO/USDC[aquafarm],H2bkwBwizcotpWHbruYFKXfHvh29hhoZn52qHq2YZumW,GNCjk3FmPPgZTkbQRSxr6nCvLtYMbXKMnRxg8BgJs62e,H6tFXr3BnF3r21Sv2ykLSbiE7wLxWpDcXroyxBReoXou,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GnKnjXsmZKVhduVyLiR9Ngsxwo8spfxtruiPtqDqHLNJ
FTM/USDC[aquafarm],4RCU8SoBzvYysNaQBAFpQMmt7LPQgxbto9uiuRjAJPpq,EsPKhGTMf3bGoy4Qm7pCv3UCcWqAmbC1UGHBTDxRjjD4,EULHGNmuJWcRHm5Xen9CiG4uqVZoemLorLvAQ7vR9vCi,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,71rJZyRkxxupdqZeLrNQnHjus11C1yEVwsrKgQax6TSx
BTC/ORCA[aquafarm],CqXRyZ23dFwdbMLGEQLhQQRJrzkFB3wBsuH92rp7d3yw,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,8dbqoSTALCCshdKXX8Nb6AskytydXtHLyPoqu9Nb2ig3,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,7UAHjQQjYBrSKdtgbJK1SaUVgmBxcmMJKshvEiEhLheP
HBB/USDC[aquafarm],Fpwa7a1r7kjax1nW25TVP3uiQc7XH9dv9n9UXMJRSTEx,HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6,2vq1vt98xBPUmvbTC5nH4GtsjJVeA64kwv6CZc7xSAf6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,B7f4A1Pp6RCjWYv5Lsrf4MecmZQDMekXh4MFQasCQuRB
HBB/SOL[aquafarm],2aCJ1VTwfvLej1PJJAmiVCzuLGtjQ5bEo9DYkbwwe1C6,HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6,5k1Nj2TvG51p7s2ambWpmX6FraiSchoYS1wJgVw5f9Af,So11111111111111111111111111111111111111112,2s2vbHk4XzKQ9SQdPRyirY8JmBemhZ67EBx7xgF6tzq5
SB/USDC[aquafarm],GPxcR4ci8RbLh4bVPi88mKwTEDeVxEKs3nBkKayghuuL,SuperbZyz7TsSdSoFAZ6RYHfAWe9NmjXBLVQpS8hqdx,EoV9ub5aojyBFdYGhPQPQ6cDeesgsENrNYGN6L8CB6Nh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7kRmDjSorwKqqLAFupgGW8fEp6hywkt2bntw2gCrV5Sh
stSOL/USDT[aquafarm],EacW6utfAJk6z5QCbyqjJHdTN2TH5UFu9K5dh3DmhsLV,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,BAMiBNk9j6Z9LLdZzzGScHDFQas58uLqW4GGX4ndq7K6,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Ajf4bxNoKCyFVfV35sRTgGwZK1dfJJJVXgNFs7ncC5EF
SEEDED/USDC[aquafarm],3fyCss3Y9ATNnTSsN7VCasEb4H5SpSuN7VEoJnNWZU3x,seedEDBqu63tJ7PFqvcbwvThrYUkQeqT6NLf81kLibs,Dn9LiTqcRiyxipCqvTEyT3ZwbWtf69bUcHQLWG89jpJa,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Aq5xPmh3cZoyLN3KzVcAK8osAU7oAjo1k6qdw6gd5ovi
AUDIO/USDC[aquafarm],2arG3AznFJbLknAQUqk44PgeABZDHpBfcRsPmPWjjBPY,9LzCMqDgTKYz9Drzqnpgee3SGa89up3a247ypMj2xrqM,FfpKRggDra1uSskyzAm6f4EXFhxw6ij8BkDwiWTs126x,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,ACBf9ksELg2buAFnDTJL9WnT5kZRcFN1Bvarox9JZVbq
MMA/USDC[aquafarm],3HJ9QwRNsdHj3xaTvrzYyvvsY1gd23N8qGiSHaytKLLB,MMAx26JtJgSWv6yH48nEHCGZcVvRbf9Lt9ALa7jSipe,BzccyLPYsbhhWjHnRLUn7Fpkao9reYRdjA8wkp7iY6re,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6uJF6gMpCxUYvmQ8hmaz44MRyRYq5ykpsx5GYABbUK5A
1SOL/SOL[aquafarm],8CJhJomcLYoVw6pAQdNWPJ3yDXkS55y2gAxJ9uReuXEz,4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF,532m3b4aSmWsrn4RfM9ByBRLJocdcHMwiscjADQYNjXG,So11111111111111111111111111111111111111112,2qu6tc58av5AGfrrBPdHxK2Cyi5CsDhjaZ8x8yw8UA1w
PUFF/SOL[aquafarm],GrSE1LoQBr3p9y7HQxV8h5vc8fH4xkT4a6Nysckbu8zt,G9tt98aYSznRk7jWsfuz9FnTdokxS6Brohdo9hSmjTRB,HYszSkhsPPNSj6Q5hRudc94kawCgUNeQ1DqrxJxtoxsK,So11111111111111111111111111111111111111112,AKJUQjqAHTw5rNYYv9Rvxxe23mwdNaqzt7pdriJy92sw
