name,name2,account,mint_account,liquidity,price,apy_24h,apy_7d,apy_30d,volume_24h,volume_24h_quote,volume_7d,volume_7d_quote,volume_30d,volume_30d_quote
MNDE/mSOL[aquafarm],MNDE/mSOL,vjHagYsgZwG9icyFLHu2xWHWdtiS5gfeNzRhDcPt5xq,5PHS5w6hQwFNnLz1jJFe7TVTxSQ98cDYC3akmiAoFMXs,2510264.0605575508,0.0029199923620393357,0.03011305326867794,0.05650680903088683,0.0548608862175562,92104.50204703245,879.3632045735388,1168408.3535056983,11155.321305190933,4685545.462644864,44735.014919275
WAG/USDC[aquafarm],WAG/USDC,B76e3wtCDTKBgKQjvx87EBkDLPGcCY9w1SGiwjD5kaK7,Df6XNHMF3uRVZnz7LCEGiZVax6rXgz76owtVkBHEjSb6,19694.738180849225,0.046360567749371466,0.09415688339523676,0.13788392937627555,0.11701259580221302,1052.530296,1053.0768428814554,13376.912503120338,13383.85872579903,127145.81926847667,127211.84221458604
mSOL/USDT[aquafarm],mSOL/USDT,Afofkb7JTc32rdpqiyc3RDmGF5s9N6W1ujcdYVfGZ5Je,9cMWe4UYRPGAUUsTkjShJWVM7bk8DUBgxtwwH8asFJoV,20746121.32051072,104.74387552339435,0.04885472396277021,0.04829827407806336,0.07474102582060194,1109504.1862680614,1109545.2394419208,7895029.468782073,7895321.595681112,54158363.18303291,54160367.11661622
mSOL/whETH[aquafarm],mSOL/whETH,A71DQffTzgxBSzXjPL3tmf8XXTNtS5mR2D78Y8rmV2hk,5qoTq3qC4U7vFxo3iCzbXcaD1UEmDeCD63Dsuoct71oV,3999797.870317663,0.03540965871634071,0.009645387399092598,0.017433633786988614,0.0289806547203995,49014.18375380106,16.570321930323725,661573.9844288767,223.65962387088243,5020692.975696721,1697.355592791197
BTC/mSOL[aquafarm],BTC/mSOL,8DRw5wQE1pyg6RB1UwypGNFgb2Pzp2hpyDDNwo76Lcc8,8nKJ4z9FSw6wrVZKASqBiS9DS1CiNsRnqwCCKVQjqdkB,5062797.904210376,378.2795493603208,0.02403661474080614,0.026476445198948147,0.04046815425228466,174016.45236401143,1661.4135226657575,1306840.5127186186,12476.995538653988,8690740.995583743,82974.42233706075
IVN/SOL[aquafarm],IVN/SOL,CFCivUWXBuULVNfJezj1fAhX6hdwVFi2BsCtpu6m96bR,DfgCnzaiTXfPkAH1C1Z441b5MzjjTCEh134ioxqRZxYf,28292.491526069112,0.00623250616442563,0.018069692714945323,0.023287235192788906,0.05622158789388118,564.6535557487708,5.621799639075775,5616.970704815704,55.923643018873996,64509.89424451589,642.2729415025477
LARIX/USDC[aquafarm],LARIX/USDC,DaNULZAv2VyLk75pW3QD5szVzx5dT6iNvoih94Bttqf5,8sfThep3io4gvcGeuoAg1Rs8GDwKJjtcdAFHqQSSNAVE,206131.83451657905,0.002991182423677889,0.005696933275549972,0.005390623236453565,0.010390481270480232,1539.0413967907077,1539.840574048639,9734.41782245956,9739.472608743497,90942.56423378726,90989.78793372486
PRT/USDC[aquafarm],PRT/USDC,CRm5uRBsVmUVHVqKfCCvCUX1RLUkjfcBWAeMQ5D9VuCM,6jCERp5hKj37PCXP3VTjCDJeoPuSpnMDMz5A6jWQv3yS,36317.6997941317,0.0018167729051377667,0.046920907260074265,0.05302651928912361,0.08656377274882245,1954.621417515301,1955.6363928031658,16178.247095860324,16186.64796615476,134839.3268265868,134909.34477652583
JET/USDC[aquafarm],JET/USDC,ErWwp9HKjk5ZPLDt8SrHKH5PvSKTwFDdFo5E3zDuE5Be,GBijunwxa4Ni3JmYC6q6zgaVhSUJU6hVX5qTyJDRpNTc,151443.23457641577,0.28009036690042133,0.02495351705761483,0.02846015623753414,0.02294082012207956,4190.230505048021,4192.406363950911,34294.02276195148,34311.83060203394,113619.48902038163,113678.48815573446
stSOL/USDC[aquafarm],stSOL/USDC,EfK84vYEKT1PoTJr6fBVKFbyA7ZoftfPo2LQPAJG1exL,GtQ1NT7R5aaTiST7K6ZWdMhwDdFxsSFvVFhBo8vyHGAq,4764712.637258639,103.90392613766545,0.09588896449468676,0.054296400135178516,0.07833188727803386,754656.6476867949,755048.5178675682,4240844.3672017725,4243046.508339601,33044167.740513325,33061326.56900264
